company_id,company_size,employees,annual_revenue,baseline_ebitda,ebitda_margin,industry,company_age,region,ownership,growth_stage,project_type,complexity,investment_amount,ai_intensity,deployment_months,has_kpi_tracking,is_mature_implementation,is_successful,success_probability,revenue_impact_pct,ebitda_impact_pct,valuation_multiple_expansion,revenue_increase_absolute,ebitda_increase_absolute,annual_roi,payback_months,project_id,start_date,status,completion_percentage,primary_technology,team_size,has_external_vendor
COMP_0001,Small,3,282711.22,49619.26,0.1755,Technology,13,Europe,Private,Mature,Computer Vision,Basic,3791.55,0.013411,3,False,False,True,0.71,2.66,4.68,0.268,7517.64,2321.68,1.2975,19.6,AI_PROJ_0001,2023-05-17,Completed,1.0,IBM Watson + Java,6,False
COMP_0002,Medium,71,19990320.22,2357084.65,0.1179,Government,1,North America,Private,Startup,Predictive Analytics,Basic,357503.65,0.017884,5,False,False,False,0.34,2.41,2.63,0.121,482420.59,62053.99,0.7615,69.1,AI_PROJ_0002,2024-05-27,Completed,1.0,H2O.ai + R,15,False
COMP_0003,Medium,499,164662651.77,32104106.48,0.195,Other,5,North America,Private,Startup,Customer Analytics/Personalization,Intermediate,9098556.2,0.055256,3,False,False,False,0.56,-2.8,-2.87,-0.14,-4614219.07,-921668.07,-0.3042,120.0,AI_PROJ_0003,2023-12-22,Completed,1.0,Azure ML + .NET,2,False
COMP_0004,Small,5,511297.27,73270.16,0.1433,Healthcare,9,Europe,Private,Growth,Predictive Analytics,Basic,13646.11,0.026689,3,False,False,True,0.54,50.0,80.0,4.0,255648.64,58616.13,11.5148,2.8,AI_PROJ_0004,2025-02-17,Deployment,0.73,IBM Watson + Java,6,False
COMP_0005,Medium,50,12563934.91,2231875.43,0.1776,Technology,42,North America,Private,Mature,Customer Analytics/Personalization,Intermediate,111790.31,0.008898,3,False,False,True,0.71,7.82,12.04,1.674,982953.05,268693.27,5.5982,5.0,AI_PROJ_0005,2024-12-22,Deployment,0.87,Apache Spark + Scala,24,False
COMP_0006,Small,49,3531232.95,577496.23,0.1635,Manufacturing,5,North America,Private,Startup,Predictive Analytics,Intermediate,60237.37,0.017058,5,False,True,False,0.67,2.02,1.82,0.101,71285.52,10529.24,0.6791,68.7,AI_PROJ_0006,2025-04-04,Development,0.62,IBM Watson + Java,5,False
COMP_0007,Small,16,2143390.14,455568.64,0.2125,Financial Services,34,Asia-Pacific,Private,Mature,Process Automation,Intermediate,79786.7,0.037225,3,True,False,True,0.78,37.88,80.0,4.0,811829.2,364454.91,7.3714,2.6,AI_PROJ_0007,2024-07-21,Completed,1.0,TensorFlow + Python,11,True
COMP_0008,Small,4,504209.39,31711.38,0.0629,Other,14,Asia-Pacific,Private,Growth,Customer Analytics/Personalization,Intermediate,10651.88,0.021126,3,False,False,False,0.66,2.71,3.09,0.135,13658.83,980.35,0.6872,120.0,AI_PROJ_0008,2025-02-16,Deployment,0.78,H2O.ai + R,8,True
COMP_0009,Small,28,3660324.15,313136.09,0.0855,Retail/E-commerce,14,Other,Private,Growth,Computer Vision,Basic,47919.52,0.013092,3,False,False,False,0.58,0.2,0.22,0.01,7310.09,675.89,0.0833,120.0,AI_PROJ_0009,2024-07-22,Completed,1.0,Microsoft Power Platform,4,True
COMP_0010,Small,14,2388924.65,194758.72,0.0815,Technology,5,Europe,Private,Startup,Computer Vision,Basic,21507.81,0.009003,7,False,False,True,0.71,39.32,55.62,4.0,939414.01,108329.44,24.3573,2.4,AI_PROJ_0010,2023-05-18,Completed,1.0,Azure ML + .NET,7,False
COMP_0011,Small,49,12551296.23,1202498.86,0.0958,Technology,4,North America,Private,Growth,Predictive Analytics,Intermediate,112940.19,0.008998,3,False,False,True,0.74,6.8,8.07,1.238,853878.02,97035.45,4.2098,14.0,AI_PROJ_0011,2024-09-19,Completed,1.0,H2O.ai + R,11,True
COMP_0012,Small,49,3039914.62,30399.15,0.01,Retail/E-commerce,14,Europe,Public,Mature,Process Automation,Intermediate,157092.73,0.051677,8,False,False,True,0.75,9.64,13.67,1.3,292982.43,4155.27,0.9457,120.0,AI_PROJ_0012,2024-11-14,Deployment,0.72,PyTorch + Python,2,True
